Code,Name,Fixable,Preview,Linter,Violations
PLR0915,too-many-statements,No,False,Pylint,1
ANN003,missing-type-kwargs,No,False,flake8-annotations,1
ANN204,missing-return-type-special-method,Sometimes,False,flake8-annotations,1
TCH003,typing-only-standard-library-import,Sometimes,False,flake8-type-checking,1
ARG002,unused-method-argument,No,False,flake8-unused-arguments,1
PD901,pandas-df-variable-name,No,False,pandas-vet,1
ANN206,missing-return-type-class-method,Sometimes,False,flake8-annotations,2
FIX002,line-contains-todo,No,False,flake8-fixme,2
RET505,superfluous-else-return,Sometimes,False,flake8-return,2
TD002,missing-todo-author,No,False,flake8-todos,2
TD003,missing-todo-link,No,False,flake8-todos,2
ANN102,missing-type-cls,No,False,flake8-annotations,3
ANN202,missing-return-type-private-function,Sometimes,False,flake8-annotations,3
FBT001,boolean-type-hint-positional-argument,No,False,flake8-boolean-trap,4
FBT002,boolean-default-value-positional-argument,No,False,flake8-boolean-trap,4
INP001,implicit-namespace-package,No,False,flake8-no-pep420,4
EM101,raw-string-in-exception,Sometimes,False,flake8-errmsg,6
EM102,f-string-in-exception,Sometimes,False,flake8-errmsg,6
ANN101,missing-type-self,No,False,flake8-annotations,8
TRY003,raise-vanilla-args,No,False,tryceratops,12
ANN001,missing-type-function-argument,No,False,flake8-annotations,16
PLR2004,magic-value-comparison,No,False,Pylint,24
ANN201,missing-return-type-undocumented-public-function,Sometimes,False,flake8-annotations,34
S101,assert,No,False,flake8-bandit,48
