Code,Name,Fixable,Preview,Linter
A001,builtin-variable-shadowing,No,False,flake8-builtins
A002,builtin-argument-shadowing,No,False,flake8-builtins
A003,builtin-attribute-shadowing,No,False,flake8-builtins
AIR001,airflow-variable-name-task-id-mismatch,No,False,Airflow
ANN002,missing-type-args,No,False,flake8-annotations
ANN205,missing-return-type-static-method,Sometimes,False,flake8-annotations
ANN401,any-type,No,False,flake8-annotations
ARG001,unused-function-argument,No,False,flake8-unused-arguments
ARG003,unused-class-method-argument,No,False,flake8-unused-arguments
ARG004,unused-static-method-argument,No,False,flake8-unused-arguments
ARG005,unused-lambda-argument,No,False,flake8-unused-arguments
ASYNC100,blocking-http-call-in-async-function,No,False,flake8-async
ASYNC101,open-sleep-or-subprocess-in-async-function,No,False,flake8-async
ASYNC102,blocking-os-call-in-async-function,No,False,flake8-async
B002,unary-prefix-increment-decrement,No,False,flake8-bugbear
B003,assignment-to-os-environ,No,False,flake8-bugbear
B004,unreliable-callable-check,Sometimes,False,flake8-bugbear
B005,strip-with-multi-characters,No,False,flake8-bugbear
B006,mutable-argument-default,Sometimes,False,flake8-bugbear
B007,unused-loop-control-variable,Sometimes,False,flake8-bugbear
B008,function-call-in-default-argument,No,False,flake8-bugbear
B009,get-attr-with-constant,Always,False,flake8-bugbear
B010,set-attr-with-constant,Always,False,flake8-bugbear
B011,assert-false,Always,False,flake8-bugbear
B012,jump-statement-in-finally,No,False,flake8-bugbear
B013,redundant-tuple-in-exception-handler,Always,False,flake8-bugbear
B014,duplicate-handler-exception,Always,False,flake8-bugbear
B015,useless-comparison,No,False,flake8-bugbear
B016,raise-literal,No,False,flake8-bugbear
B017,assert-raises-exception,No,False,flake8-bugbear
B018,useless-expression,No,False,flake8-bugbear
B019,cached-instance-method,No,False,flake8-bugbear
B020,loop-variable-overrides-iterator,No,False,flake8-bugbear
B021,f-string-docstring,No,False,flake8-bugbear
B022,useless-contextlib-suppress,No,False,flake8-bugbear
B023,function-uses-loop-variable,No,False,flake8-bugbear
